Wban Number, YearMonthDay, Avg Max Temp, Departure Max Temp, Avg Min Temp, Departure Min Temp, Avg Temp, Departure from Normal, Avg Dew Point, Avg Wet Bulb, Heating Degree Days, Cooling Degree Days, HDD Monthly Departure, CDD Monthly Departure, HDD Season to Date, CDD Season to Date, HDD Season to Date Departure, CDD Season to Date Departure, Mean Station Pressure, Mean Sea Level Pressure, Max Sea Level Pressure, Date Max Sea Level Pressure, Time Max Sea Level Pressure,Min Sea Level Pressure, Date Min Sea Level Pressure, Time Min Sea Level Pressure, Total Monthly Precip, Departure from Normal Precip, Max 24 hr. Precip, Date Max 24 hr. Precip, Sunshine Minutes, Total Minutes Sunshine, Percent Possible Sunshine, Total Snowfall, Max 24 hr. Snowfall, Date Max 24 hr. Snowfall, Max 12Z Snow Depth, Date Max 12Z Snow Depth, Clear Sky Days, Partly Cloudy Days, Cloudy Days, Max Temp >= 90 Days, Max Temp <= 32 Days, Min Temp <= 32 Days, Min Temp <= 0 Days, Thunderstorm Days, Heavy Fog Days, Precip >= 1/100 Days, Precip >= 1/10 Days, Snowfall >= 1.0 inch Days, Max Wind Speed, Max Wind Direction, Max Wind Date, Peak Gust Speed, Peak Gust Direction, Peak Gust Date, Water Equivalent, Resultant Wind Speed, Resultant Wind Direction, Avg Wind Speed, Avg HDD, Avg CDD
03013,20000630,     ,     ,     ,     ,     ,     , 47.4, 58.1,    ,    ,    ,    ,     ,     ,     ,     ,26.17,29.99,     ,   ,    ,     ,   ,    ,     ,     ,     ,     ,     ,     ,   ,    ,    ,   ,    ,   ,  ,  ,  ,  ,  ,  ,  , 2, 0,  ,  , 0, 46,030, 15, 55,030, 15,    ,  4.2,144, 12.3,   .3,  7.7
03016,20000630, 87.1,     , 47.1,     , 67.1,   .0, 33.8, 50.3,  20,  90, 255, 256,     ,     ,     ,     ,24.48,29.93,30.18,26 ,1337,29.49,15 ,1823, 0.24, 0.00, 0.24,26-27,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0,13, 0, 0, 0, 4, 0, 1, 0, 0, 35,200, 18, 47,200, 18,    ,  2.1,278,  6.8,   .7,  3.0
03017,20000630,     ,     ,     ,     ,     ,     , 40.4, 52.7,    ,    ,    ,    ,     ,     ,     ,     ,24.62,30.03,     ,   ,    ,     ,   ,    ,     ,     ,     ,     ,     ,     ,   ,    ,    ,   ,    ,   ,  ,  ,  ,  ,  ,  ,  , 7, 1,  ,  , 0, 41, 20, 13, 55,140, 10,    ,  2.3,182, 10.3,  2.0,  4.2
03024,20000630,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,     ,     ,     ,     ,26.83,     ,     ,   ,    ,     ,   ,    ,     ,     ,     ,     ,     ,     ,   ,    ,    ,   ,    ,   ,  ,  ,  ,  ,  ,  ,  ,10, 2,  ,  , 0, 48,010, 26, 61,010, 26,    ,  5.9,152, 11.9,   .2,  8.3
03026,20000630,     ,     ,     ,     ,     ,     , 47.0, 56.3,    ,    ,    ,    ,     ,     ,     ,     ,25.69,     ,     ,   ,    ,     ,   ,    ,     ,     ,     ,     ,     ,     ,   ,    ,    ,   ,    ,   ,  ,  ,  ,  ,  ,  ,  , 1, 2,  ,  , 0, 52,290, 19, 61,290, 19,    ,  3.4,168, 13.3,  1.3,  4.8
03027,20000630,     ,     ,     ,     ,     ,     , 44.3, 53.4,    ,    ,    ,    ,     ,     ,     ,     ,23.21,29.95,     ,   ,    ,     ,   ,    ,     ,     ,     ,     ,     ,     ,   ,    ,    ,   ,    ,   ,  ,  ,  ,  ,  ,  ,  , 0, 2,  ,  , 0, 43,090, 04, 52,080, 04,    ,  2.9,205, 12.9,   .8,  1.9
03028,20000630, 83.8,     , 55.5,     , 69.7,  -.8, 50.9, 58.4,  21, 162,   1, -23,     ,     ,     ,     ,25.53,29.95,30.23, 2 ,0845,29.27,15 ,1747, 1.47,-1.20, 0.89,24-25,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0,M ,M ,M ,M , 0, 0,11, 5, 0, 56,010, 15, 64,020, 15,    ,  5.6,162,     ,   .7,  5.6
03029,20000630, 84.1,     , 47.4,     , 65.8,  1.2, 36.3, 51.3,  18,  48, -80, -38,     ,     ,     ,     ,23.49,29.84,30.08, 3 ,0613,29.48,16 ,1611, 0.29, -.10, 0.21, 30  ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 3, 0, 0, 0, 0, 0, 4, 1, 0, 32,230, 09, 41,220, 09,    ,  3.8,245,  6.9,   .6,  1.6
03030,20000630,     ,     ,     ,     ,     ,     , 56.8, 62.8,    ,    ,    ,    ,     ,     ,     ,     ,26.71,29.92,     ,   ,    ,     ,   ,    ,     ,     ,     ,     ,     ,     ,   ,    ,    ,   ,    ,   ,  ,  ,  ,  ,  ,  ,  , 0, 2,  ,  , 0, 55,310,+21, 68,300,+21,    ,  5.5,156, 12.8,   .0,  8.3
03031,20000630, 90.6,     , 70.1,     , 80.4,   .0, 63.6, 69.0,   0, 467,   0, -28,     ,     ,     ,     ,26.86,29.91,30.13, 5 ,1118,29.48,16 ,0508, 2.17,-1.34, 1.24, 29  ,     ,     ,   ,    ,    ,   ,  0 ,-  , 0, 0, 0,20, 0, 0, 0, 5, 0, 5, 3, 0, 36,300, 20, 44,300, 20,    ,  8.1,145, 12.9,   .0, 14.6
