Wban Number, YearMonthDay, Avg Max Temp, Departure Max Temp, Avg Min Temp, Departure Min Temp, Avg Temp, Departure from Normal, Avg Dew Point, Avg Wet Bulb, Heating Degree Days, Cooling Degree Days, HDD Monthly Departure, CDD Monthly Departure, HDD Season to Date, CDD Season to Date, HDD Season to Date Departure, CDD Season to Date Departure, Mean Station Pressure, Mean Sea Level Pressure, Max Sea Level Pressure, Date Max Sea Level Pressure, Time Max Sea Level Pressure,Min Sea Level Pressure, Date Min Sea Level Pressure, Time Min Sea Level Pressure, Total Monthly Precip, Departure from Normal Precip, Max 24 hr. Precip, Date Max 24 hr. Precip, Sunshine Minutes, Total Minutes Sunshine, Percent Possible Sunshine, Total Snowfall, Max 24 hr. Snowfall, Date Max 24 hr. Snowfall, Max 12Z Snow Depth, Date Max 12Z Snow Depth, Clear Sky Days, Partly Cloudy Days, Cloudy Days, Max Temp >= 90 Days, Max Temp <= 32 Days, Min Temp <= 32 Days, Min Temp <= 0 Days, Thunderstorm Days, Heavy Fog Days, Precip >= 1/100 Days, Precip >= 1/10 Days, Snowfall >= 1.0 inch Days, Max Wind Speed, Max Wind Direction, Max Wind Date, Peak Gust Speed, Peak Gust Direction, Peak Gust Date, Water Equivalent, Resultant Wind Speed, Resultant Wind Direction, Avg Wind Speed, Avg HDD, Avg CDD
03013,20011231, 47.6,     , 15.4,     , 31.5, 31.5, 18.0, 25.6, 964,   0, 964,   0,  964,    0,  964,    0,26.18,30.07,30.51, 8 ,0753,29.48,21 ,1532, 0.27, 0.30, 0.13, 22  ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 3,29, 0, 0, 2, 3, 2, 0, 36,230, 21, 40,260, 21,    ,  2.3,249,     , 33.3,   .0
03016,20011231, 36.2,     , 12.5,     , 24.4,   .0, 15.2, 21.1,1249,   0, 267, 255, 2429,   12, 2457,-2123,24.52,30.18,30.81, 8 ,0740,29.61,15 ,0247,  T  , 0.00, T   , 31  ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 5,31, 1, 0, 3, 0, 0, 0, 29,250, 21, 39,250, 21,    ,  1.2,228,  3.4, 39.1,   .0
03017,20011231, 43.5,     , 19.9,     , 31.7,  2.4, 16.6, 26.0,1026,   0, -83,   0, 2228,  974, -367,  410,24.52,30.08,30.45, 8 ,0224,29.37,15 ,0333, 0.14, -.50, 0.09,15-16,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 3,29, 0, 0, 2, 3, 0, 0, 33,290,+28, 40,340, 21,    ,  4.2,194,  9.7, 33.1,   .0
03024,20011231, 54.7,     , 30.7,     , 42.7,   .0, 21.3, 33.7, 684,   0,-255,-255, 1208, 2139, 2335,-1910,26.85,30.05,30.48, 8 ,1037,29.61,21 ,2053, 0.07, 0.00, 0.07, 31  ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 2,18, 0, 0, 0, 1, 0, 0, 29,170,+22, 39,280, 22,    ,  3.6,231,  9.7, 20.7,   .0
03026,20011231, 45.4,     , 17.5,     , 31.5,   .0, 16.8, 25.5,1035,   0,-255,-255, 2244, 1164, 2438,-2008,25.65,30.03,30.48, 8 ,0704,29.48,21 ,2318, 0.24, 0.00, 0.21,11-12,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 2,31, 0, 0, 1, 3, 1, 0, 33,020, 21, 40,020, 21,    ,  4.7,272, 11.6, 32.0,   .0
03027,20011231, 41.3,     , 19.4,     , 30.4,   .0, 15.6, 24.3,1069,   0,-255,-255, 2245,  367, 2438,-2088,23.07,30.09,30.54, 8 ,0803,29.62,21 ,1451, 0.12, 0.00, 0.12,29-30,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 4,31, 0, 0, 3, 2, 1, 0, 43,290, 28, 49,210,+28,    , 11.6,279, 15.4, 34.5,   .0
03028,20011231, 50.7,     , 18.8,     , 34.8,  1.2, 15.7, 27.4, 929,   0, -44,   0, 1870, 1224, -165,  309,25.47,30.04,30.46, 8 ,0752,29.44,21 ,2353, 0.22, -.50, 0.12, 31  ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 3,30, 0, 0, 0, 3, 1, 0, 39,260, 22, 45,270, 22,    ,  4.7,246, 10.7, 28.4,   .0
03029,20011231, 43.1,     , 10.1,     , 26.6, -3.6, 14.9, 22.1,1184,   0, 105,   0, 2578,  231,   61, -134,23.41,30.10,30.58, 8 ,0801,29.53,15 ,0350, 0.47, -.50, 0.23,29-30,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 4,31, 1, 0, 1,12, 2, 0, 32,240, 21, 39,240, 10,    ,  1.5,249,  4.0, 37.0,   .0
03030,20011231, 54.1,     , 23.2,     , 38.7,  4.8, 18.5, 30.5, 808,   0,-156,   0, 1527, 1749, -380,  497,26.72,30.01,30.44, 8 ,0834,29.52,22 ,0203, 0.15, -.60, 0.07, 30  ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 1,29, 0, 0, 0, 4, 0, 0, 39,260, 22, 49,260, 22,    ,  3.3,244,  9.8, 26.1,   .0
03031,20011231, 57.5,     , 33.1,     , 45.3,   .0, 27.1, 37.7, 601,   0,-255,-255,  920, 2909, 2306,-1833,26.97,30.05,30.41, 8 ,1035,29.66,11 ,1645,  T  , 0.00, T   , 31  ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 0,14, 0, 0, 1, 0, 0, 0, 31,250, 12,147,360, 16,    ,  1.9,194,  9.3, 18.2,   .0
