Wban Number, YearMonthDay, Avg Max Temp, Departure Max Temp, Avg Min Temp, Departure Min Temp, Avg Temp, Departure from Normal, Avg Dew Point, Avg Wet Bulb, Heating Degree Days, Cooling Degree Days, HDD Monthly Departure, CDD Monthly Departure, HDD Season to Date, CDD Season to Date, HDD Season to Date Departure, CDD Season to Date Departure, Mean Station Pressure, Mean Sea Level Pressure, Max Sea Level Pressure, Date Max Sea Level Pressure, Time Max Sea Level Pressure,Min Sea Level Pressure, Date Min Sea Level Pressure, Time Min Sea Level Pressure, Total Monthly Precip, Departure from Normal Precip, Max 24 hr. Precip, Date Max 24 hr. Precip, Sunshine Minutes, Total Minutes Sunshine, Percent Possible Sunshine, Total Snowfall, Max 24 hr. Snowfall, Date Max 24 hr. Snowfall, Max 12Z Snow Depth, Date Max 12Z Snow Depth, Clear Sky Days, Partly Cloudy Days, Cloudy Days, Max Temp >= 90 Days, Max Temp <= 32 Days, Min Temp <= 32 Days, Min Temp <= 0 Days, Thunderstorm Days, Heavy Fog Days, Precip >= 1/100 Days, Precip >= 1/10 Days, Snowfall >= 1.0 inch Days, Max Wind Speed, Max Wind Direction, Max Wind Date, Peak Gust Speed, Peak Gust Direction, Peak Gust Date, Water Equivalent, Resultant Wind Speed, Resultant Wind Direction, Avg Wind Speed, Avg HDD, Avg CDD
03013,19980131, 44.4,     , 20.0,     , 32.2, 32.2, 23.0, 27.7,1010,   0, 101,   0,     ,     ,     ,     ,26.08,29.99,30.26,26 ,0948,29.43,20 ,0345,  T  , 0.00, T   , 21  ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 4,31, 0, 0, 4, 0, 0, 0, 23,010,+20, 30,350, 20,    ,  1.1,270,  7.2, 32.6,   .0
03016,19980131, 39.7,     , 18.3,     , 29.0,   .0, 20.8, 25.5,1108,   0, 266, 255,     ,     ,     ,     ,24.42,30.08,30.48,26 ,0755,29.58,19 ,1322, 0.38, 0.00, 0.20, 13  ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 3,31, 0, 0, 2,M ,M , 0, 24,260, 11, 29,210, 19,    ,  0.8,225,  3.3, 35.8,   .0
03017,19980131, 44.5,     , 21.1,     , 32.8,  4.6, 17.7, 26.8, 992,   0,-149,   0,     ,     ,     ,     ,24.42,29.95,30.26, 6 ,2340,29.43,19 ,2254, 0.04, -.46, 0.02, 6   ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 2,29, 0, 0, 5, 0, 0, 0, 31,280, 02, 36,280, 02,    ,  3.8,210,  8.9, 32.0,   .0
03024,19980131, 52.8,     , 28.5,     , 40.7,   .0, 26.2, 34.0, 748,   0,-255,-255,     ,     ,     ,     ,26.76,29.98,30.24,26 ,1102,29.50,20 ,0328, 0.46, 0.00, 0.46, 3-4 ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 0,22, 0, 0, 1, 0, 0, 0, 32,210, 19, 38,210, 19,    ,  1.1,246,  9.2, 24.1,   .0
03026,19980131, 43.4,     , 20.4,     , 31.9,   .0, 20.9, 26.7,1019,   0,-255,-255,     ,     ,     ,     ,25.56,29.98,30.23, 7 ,0215,29.42,20 ,0118, 0.06, 0.00, 0.05, 20  ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 4,30, 0, 0, 6,M ,M , 0, 39,320, 17, 45,320, 17,    ,  4.3,275, 10.0, 32.9,   .0
03103,19980131, 43.7,  1.5, 19.1,  3.9, 31.4,  2.7, 20.0, 26.8,1037,   0, -88,   0,     ,     ,     ,     ,23.15,30.04,30.38,14 ,1956,29.66,19 ,1543, 1.30, -.74, 0.48, 9-10,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 2,31, 1, 0, 4, 0, 0, 0, 28,200, 19, 37,190, 19,    ,  2.7,226,  4.8, 33.5,   .0
03145,19980131,     ,     ,     ,     ,     ,     ,     ,     ,    ,    ,    ,    ,     ,     ,     ,     ,     ,     ,     ,   ,    ,     ,   ,    ,     ,     ,     ,     ,     ,     ,   ,    ,    ,   ,    ,   ,  ,  ,  ,  ,  ,  ,  , 0, 0,  ,  , 0,   ,   ,   ,   ,   ,   ,    ,     ,   ,     ,     ,     
03160,19980131, 55.4,  1.7, 33.2,  1.3, 44.3,  1.5, 27.4, 37.1, 631,   0, -57,   0,     ,     ,     ,     ,26.56,29.97,30.25, 6 ,1003,29.61,19 ,0426, 0.08, -.47, 0.08, 29  ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 0,15, 0, 0, 0,M ,M , 0, 37,200, 19, 47,200, 19,    ,  1.9,131,  6.6, 20.4,   .0
03162,19980131, 48.1,     , 31.5,     , 39.8,   .0, 25.9, 34.0, 773,   0,-255,-255,     ,     ,     ,     ,25.59,30.01,30.27,26 ,1055,29.58,19 ,1421, 0.15, 0.00, 0.07, 9-10,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 0,17, 0, 0, 0, 0, 0, 0, 22,260, 19, 31,280, 19,    ,  0.7,222,  2.8, 24.9,   .0
03163,19980131, 50.7,     , 21.8,     , 36.3,  4.5, 23.3, 30.1, 883,   0,-146,   0,     ,     ,     ,     ,25.53,30.06,30.40, 6 ,0920,29.58,19 ,0435, 0.22, -.58, 0.13, 19  ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 0,30, 0, 0, 0,M ,M , 0, 24,160, 19, 33,170, 19,    ,  0.8,207,  2.2, 28.5,   .0
03170,19980131, 41.8,     , 20.1,     , 31.0,  4.6, 22.7, 27.8,1045,   0,-152,   0,     ,     ,     ,     ,23.47,29.99,30.40, 6 ,0745,29.46,19 ,0048, 0.00,-1.05, 0.00,     ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 2,31, 0, 0, 0,M ,M , 0, 28,270, 19, 34,270, 19,    ,  3.3,193,  6.0, 33.7,   .0
03178,19980131, 63.1,     , 45.0,     , 54.1,   .0, 48.2, 51.0, 333,   0,-255,-255,     ,     ,     ,     ,29.43,30.03,30.23,14 ,1117,29.84,31 ,1451, 2.29, 0.00, 0.81, 9-10,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 0, 0, 17,180,+19, 22,290, 19,    ,  1.7,159,  5.5, 10.8,   .0
03195,19980131, 45.6,     , 20.1,     , 32.9,   .0, 23.7, 28.6, 991,   0,-255,-255,     ,     ,     ,     ,23.52,30.07,30.40,14 ,1914,29.70,19 ,1603, 0.65, 0.00, 0.36, 9-10,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 2,31, 0, 0, 6,M ,M , 0, 24,220, 19, 32,220, 19,    ,  2.1,214,  4.8, 32.0,   .0
03810,19980131, 51.7,  4.1, 34.6,  6.8, 43.2,  5.5, 34.4, 39.5, 670,   0,-176,   0,     ,     ,     ,     ,28.79,30.04,30.61, 1 ,1004,29.53,16 ,1028, 6.97, 3.38, 2.32,27-28,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 0,12, 0, 0, 3,M ,M , 0, 26,200, 08, 38,010, 28,    ,  1.1,333,  4.8, 21.6,   .0
03811,19980131, 51.7,  5.2, 36.3,  9.0, 44.0,  7.0, 37.6, 41.3, 644,   0,-224,   0,     ,     ,     ,     ,29.56,30.13,30.52, 1 ,1003,29.44, 8 ,0130, 0.06,-3.88, 0.06, 28  ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 0,14, 0, 1, 0,M ,M , 0, 21,020, 15, 24,180,+15,    ,  1.1,198,  6.7, 20.8,   .0
03812,19980131, 50.0,  3.5, 32.5,  7.7, 41.3,  5.6, 34.1, 37.9, 727,   0,-181,   0,     ,     ,     ,     ,27.79,30.09,30.67, 1 ,1038,29.56, 8 ,0648, 9.96, 6.71, 4.42, 7-8 ,     ,     ,   ,    ,    , 27,  0 ,   , 0, 0, 0, 0, 0,19, 0, 1, 6, 5, 1, 1, 36,320, 28, 45,310, 28,    ,  1.8,332,  7.0, 23.5,   .0
03813,19980131, 59.6,  3.0, 38.9,  4.7, 49.3,  3.9, 41.6, 45.3, 456,   6,-159,  -1,     ,     ,     ,     ,29.60,30.07,30.71, 1 ,1020,29.57, 8 ,0249, 0.00,-4.56, 0.00,     ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0,M ,M ,M ,M , 2, 5,M ,M , 0, 28,320, 28, 34,320, 28,    ,  1.0,300,  6.4, 15.7,   .2
03816,19980131, 48.1,  6.6, 32.8,  9.3, 40.5,  7.9, 34.9, 38.1, 750,   0,-254,   0,     ,     ,     ,     ,29.58,30.14,30.47, 1 ,0057,29.40, 8 ,0043, 3.06, -.21, 0.90, 5   ,     ,     ,   ,    ,    , 10,  0 ,   ,M , 0, 0, 0, 1,19, 0, 1, 6, 2, 0, 0, 21,010,+15, 26,200,+15,    ,  0.1,284,  7.1, 24.2,   .0
03818,19980131, 64.2,     , 42.7,     , 53.5, 53.5,     , 48.3, 302,   8, 302,   8,     ,     ,     ,     ,29.91,     ,30.67, 1 ,1006,29.59, 7 ,1511, 0.00, 0.00, 0.00,     ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0,M ,M ,M ,M , 0, 2,M ,M , 0, 26,190, 07, 37,290, 19,    ,  0.4,289,     ,     ,     
03820,19980131, 60.3,  4.6, 38.2,  6.2, 49.3,  5.4, 40.7, 44.5, 461,  10,-193,  10,     ,     ,     ,     ,29.88,     ,30.71, 1 ,1055,29.56, 8 ,0608, 7.51, 3.46, 1.94,22-23,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0,M ,M ,M ,M , 2, 7, 3, 0, 0, 26,310, 28, 31,230,+28,    ,  0.6,296,  4.9, 15.9,   .4
