Wban Number, YearMonthDay, Avg Max Temp, Departure Max Temp, Avg Min Temp, Departure Min Temp, Avg Temp, Departure from Normal, Avg Dew Point, Avg Wet Bulb, Heating Degree Days, Cooling Degree Days, HDD Monthly Departure, CDD Monthly Departure, HDD Season to Date, CDD Season to Date, HDD Season to Date Departure, CDD Season to Date Departure, Mean Station Pressure, Mean Sea Level Pressure, Max Sea Level Pressure, Date Max Sea Level Pressure, Time Max Sea Level Pressure,Min Sea Level Pressure, Date Min Sea Level Pressure, Time Min Sea Level Pressure, Total Monthly Precip, Departure from Normal Precip, Max 24 hr. Precip, Date Max 24 hr. Precip, Sunshine Minutes, Total Minutes Sunshine, Percent Possible Sunshine, Total Snowfall, Max 24 hr. Snowfall, Date Max 24 hr. Snowfall, Max 12Z Snow Depth, Date Max 12Z Snow Depth, Clear Sky Days, Partly Cloudy Days, Cloudy Days, Max Temp >= 90 Days, Max Temp <= 32 Days, Min Temp <= 32 Days, Min Temp <= 0 Days, Thunderstorm Days, Heavy Fog Days, Precip >= 1/100 Days, Precip >= 1/10 Days, Snowfall >= 1.0 inch Days, Max Wind Speed, Max Wind Direction, Max Wind Date, Peak Gust Speed, Peak Gust Direction, Peak Gust Date, Water Equivalent, Resultant Wind Speed, Resultant Wind Direction, Avg Wind Speed, Avg HDD, Avg CDD
03013,19960930, 79.8,     , 50.0,     , 64.9, 64.9, 49.6, 55.7,  86,  88,  86,  88,     ,     ,    ,    ,26.14,29.84,30.23,24 ,0455,29.55,15 ,0243, 1.34, 1.34, 0.55,14-15,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 7, 0, 0, 0, 0, 3,13, 3, 0, 33,020, 25, 39,030, 25,    ,  2.7,152,  9.4,  2.9,  2.9
03017,19960930, 74.6,     , 46.9,     , 60.8,  -.2, 40.2, 49.6, 192,  71,  30,  29,     ,     ,    ,    ,24.56,29.88,30.21,23 ,2253,29.48, 5 ,1452, 2.35, 1.01, 1.24,18-19,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 5, 0, 3, 0, 7, 3,11, 6, 0, 33,320,+25, 39,310, 18,    ,  2.5,206,  9.8,  6.4,  2.4
03103,19960930, 68.9, -4.3, 41.3,   .1, 55.1, -2.2,     ,     , 291,   1,  54,  -5,     ,     ,    ,    ,     ,     ,30.22,28 ,1111,29.61,14 ,0353, 3.73, 1.70, 1.19,13-14,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 0, 2, 0,12, 1,15,11, 0, 26,120, 02, 34,120, 02,    ,     ,   ,  5.3,  9.7,   .0
03145,19960930, 98.6,     , 76.8,     , 87.7,   .4, 59.8, 70.0,   0, 690,   0,  14,     ,     ,    ,    ,29.49,29.75,29.97,28 ,1108,29.55,13 ,1931,  T  , -.25, T   , 24  ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0,30, 0, 0, 0, 0, 0, 0, 0, 0, 34,090, 09, 45,150, 09,    ,  3.6,159,  8.0,   .0, 23.0
03160,19960930, 89.0,  1.2, 60.5,   .5, 74.8,   .9, 32.9, 53.5,   1, 292,  -5,  19,     ,     ,    ,    ,26.48,29.80,30.12,28 ,0816,29.52,15 ,2130, 0.00, -.43, 0.00,     ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0,M ,M ,M ,M , 0, 0,M ,M , 0, 33,210, 04, 41,210, 04,    ,  2.6,209,  9.0,   .0, 10.1
03195,19960930, 73.5,     , 38.3,     , 55.9,   .0, 35.8, 45.8, 268,   3,-255,-255,     ,     ,    ,    ,23.61,29.98,30.31,28 ,0707,29.63,14 ,0413, 1.20, 0.00, 0.72,13-14,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 0, 8, 0, 8, 0, 8, 2, 0, 33,210, 16, 38,210,+16,    ,  1.4,216,  5.8,  8.9,   .1
03812,19960930, 73.8, -3.1, 55.0,  -.5, 64.4, -1.8, 57.0, 59.6,  76,  64,  12, -36,     ,     ,    ,    ,27.78,30.02,30.41,30 ,2252,29.76,17 ,0347, 5.22, 1.35, 1.78,27-28,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 0, 0, 0, 5,11,M ,M , 0, 25,320, 22, 32,320, 22,    ,  2.1,336,  4.7,  2.5,  2.1
03813,19960930, 85.8,  -.6, 62.9, -1.3, 74.4,  -.9, 64.5, 67.6,   0, 288,  -5, -26,     ,     ,    ,    ,29.54,29.95,30.28,30 ,2237,29.75,21 ,1614, 1.59,-1.19, 0.73, 28  ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 7, 0, 0, 0, 3, 2,M ,M , 0, 23,190, 09, 30,190, 09,    ,  1.0,360,  5.7,   .0,  9.6
03816,19960930, 79.2, -1.8, 56.3, -2.9, 67.8, -2.4, 58.5, 61.7,  40, 132,  16, -48,     ,     ,    ,    ,29.50,29.96,30.29,30 ,0934,29.52,16 ,0418, 7.26, 3.57, 2.31,15-16,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 1, 0, 0, 0, 9, 6,10, 8, 0, 29,260, 08, 33,270, 26,    ,  0.6,308,  4.5,  1.3,  4.4
03820,19960930, 84.2, -1.5, 62.3,  -.8, 73.3, -1.2, 64.7, 67.4,   2, 257,   2, -28,     ,     ,    ,    ,29.76,29.95,30.31,30 ,2129,29.70,13 ,1522, 2.96, -.06, 0.72,28-29,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 3, 0, 0, 0, 2, 7,11, 8, 0, 29,300, 28, 34,300, 28,    ,  0.8,339,  4.8,   .1,  8.6
