Wban Number, YearMonthDay, Avg Max Temp, Departure Max Temp, Avg Min Temp, Departure Min Temp, Avg Temp, Departure from Normal, Avg Dew Point, Avg Wet Bulb, Heating Degree Days, Cooling Degree Days, HDD Monthly Departure, CDD Monthly Departure, HDD Season to Date, CDD Season to Date, HDD Season to Date Departure, CDD Season to Date Departure, Mean Station Pressure, Mean Sea Level Pressure, Max Sea Level Pressure, Date Max Sea Level Pressure, Time Max Sea Level Pressure,Min Sea Level Pressure, Date Min Sea Level Pressure, Time Min Sea Level Pressure, Total Monthly Precip, Departure from Normal Precip, Max 24 hr. Precip, Date Max 24 hr. Precip, Sunshine Minutes, Total Minutes Sunshine, Percent Possible Sunshine, Total Snowfall, Max 24 hr. Snowfall, Date Max 24 hr. Snowfall, Max 12Z Snow Depth, Date Max 12Z Snow Depth, Clear Sky Days, Partly Cloudy Days, Cloudy Days, Max Temp >= 90 Days, Max Temp <= 32 Days, Min Temp <= 32 Days, Min Temp <= 0 Days, Thunderstorm Days, Heavy Fog Days, Precip >= 1/100 Days, Precip >= 1/10 Days, Snowfall >= 1.0 inch Days, Max Wind Speed, Max Wind Direction, Max Wind Date, Peak Gust Speed, Peak Gust Direction, Peak Gust Date, Water Equivalent, Resultant Wind Speed, Resultant Wind Direction, Avg Wind Speed, Avg HDD, Avg CDD
03013,19991130, 66.9,     , 24.4,     , 45.7, 45.7, 22.2, 34.6, 579,   0, 579,   0,     ,     ,    ,    ,26.28,30.16,30.71,29 ,0951,29.40,18 ,0319, 0.09, 0.10, 0.09, 22  ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 0,28, 0, 0, 3, 1, 0, 0, 33,030, 01, 39,020, 01,    ,  1.7,239,  7.2, 18.8,   .0
03016,19991130, 57.1,     , 20.6,     , 38.9,   .0,     , 28.9, 724,   0, 262, 255,     ,     ,    ,    ,24.63,     ,30.62,24 ,0857,29.58,17 ,2124, 0.21, 0.00, 0.15,21-22,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0,M ,M ,M ,M , 0, 0, 3, 1, 0, 33,190, 17, 47,200, 17,    ,  1.2,235,  3.7, 25.9,   .0
03017,19991130, 62.9,     , 31.3,     , 47.1,  9.5, 16.6, 34.6, 533,   0,-289,   0,     ,     ,    ,    ,24.69,30.12,30.69, 1 ,2051,29.38,18 ,0006, 0.47, -.42, 0.47,21-22,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 2,16, 0, 0, 1, 0, 0, 0, 40,290, 18, 48,290, 18,    ,  4.3,197,  9.7, 17.8,   .0
03024,19991130,     ,     ,     ,     ,     ,     , 33.3, 44.4,    ,    ,    ,    ,     ,     ,    ,    ,26.95,30.12,     ,   ,    ,     ,   ,    ,     ,     ,     ,     ,     ,     ,   ,    ,    ,   ,    ,   ,  ,  ,  ,  ,  ,  ,  , 0, 0,  ,  , 0, 34,020,+18, 41,020,+18,    ,  4.0,220,  9.1,  9.9,   .2
03026,19991130, 63.1,     , 28.0,     , 45.6,   .0, 21.5, 34.8, 576,   0,-255,-255,     ,     ,    ,    ,25.77,30.14,30.69,29 ,0959,29.38,18 ,0301, 0.14, 0.00, 0.14, 22  ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 0,27, 0, 0, 3, 1, 1, 0, 39,320, 18, 44,320, 18,    ,  4.5,265, 10.9, 19.2,   .0
03027,19991130, 52.6,     , 25.1,     , 38.9,   .0, 16.3, 32.7, 336,   0,-255,-255,     ,     ,    ,    ,22.91,     ,30.65,29 ,1915,29.66,21 ,1422, 0.00, 0.00, 0.00,     ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 0,11, 0, 0, 0, 0, 0, 0, 53,270, 18, 61,280, 18,    ,  8.1,284, 12.2, 19.2,   .0
03028,19991130, 65.6,     , 28.3,     , 47.0,  4.7, 22.7, 36.2, 535,   0,-146,   0,     ,     ,    ,    ,25.62,30.10,30.65,29 ,0952,29.42,18 ,0344, 0.01, -.80, 0.01, 22  ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 0,22, 0, 0, 0, 1, 0, 0, 37,360, 01, 44,010, 01,    ,  3.0,249,  9.6, 17.8,   .0
03029,19991130, 62.7,     , 16.7,     , 39.7,   .9, 12.7, 28.3, 751,   0, -35,   0,     ,     ,    ,    ,23.58,30.20,30.64,29 ,0805,29.69,21 ,1601,  T  ,-1.01, T   , 25  ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 0,30, 0, 0, 0, 0, 0, 0, 24,220, 17, 36,270, 21,    ,  0.9,245,  2.8, 25.0,   .0
03030,19991130,   .0,     ,   .0,     ,   .0,   .0, 27.8, 39.9,   0,   0,   0,   0,     ,     ,    ,    ,26.80,30.08,  .00, 0 ,0000,  .00, 0 ,0000,  M  , 0.00, M   ,     ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0,M ,M ,M ,M , 0, 1,M ,M , 0, 39,010, 01, 45,010, 01,    ,  2.2,242,     ,     ,     
03031,19991130, 65.0,     , 36.0,     , 50.5,   .0, 34.2, 46.9, 116,   0,-255,-255,     ,     ,    ,    ,26.94,30.11,30.61,29 ,1049,29.88,26 ,1739, 0.00, 0.00, 0.00,     ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 31,040, 01, 37,040, 01,    ,  2.8,169,  8.3,  6.4,   .4
