Wban Number, YearMonthDay, Avg Max Temp, Departure Max Temp, Avg Min Temp, Departure Min Temp, Avg Temp, Departure from Normal, Avg Dew Point, Avg Wet Bulb, Heating Degree Days, Cooling Degree Days, HDD Monthly Departure, CDD Monthly Departure, HDD Season to Date, CDD Season to Date, HDD Season to Date Departure, CDD Season to Date Departure, Mean Station Pressure, Mean Sea Level Pressure, Max Sea Level Pressure, Date Max Sea Level Pressure, Time Max Sea Level Pressure,Min Sea Level Pressure, Date Min Sea Level Pressure, Time Min Sea Level Pressure, Total Monthly Precip, Departure from Normal Precip, Max 24 hr. Precip, Date Max 24 hr. Precip, Sunshine Minutes, Total Minutes Sunshine, Percent Possible Sunshine, Total Snowfall, Max 24 hr. Snowfall, Date Max 24 hr. Snowfall, Max 12Z Snow Depth, Date Max 12Z Snow Depth, Clear Sky Days, Partly Cloudy Days, Cloudy Days, Max Temp >= 90 Days, Max Temp <= 32 Days, Min Temp <= 32 Days, Min Temp <= 0 Days, Thunderstorm Days, Heavy Fog Days, Precip >= 1/100 Days, Precip >= 1/10 Days, Snowfall >= 1.0 inch Days, Max Wind Speed, Max Wind Direction, Max Wind Date, Peak Gust Speed, Peak Gust Direction, Peak Gust Date, Water Equivalent, Resultant Wind Speed, Resultant Wind Direction, Avg Wind Speed, Avg HDD, Avg CDD
03013,19990331, 59.3,     , 26.7,     , 43.0, 43.0, 27.9, 36.4, 671,   0, 671,   0,     ,     ,    ,    ,26.14,30.12,30.44, 6 ,0949,29.25,31 ,1659, 0.00, 0.00, 0.00,     ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 1,26, 0, 0, 8,M ,M , 0, 39,350, 08, 46,350, 08,    ,  3.0,149, 10.8, 21.7,   .0
03016,19990331, 60.4,     , 26.7,     , 43.6,   .0, 19.5, 33.4, 658,   0, 261, 255,     ,     ,    ,    ,24.36,30.04,30.34,29 ,0700,29.25,31 ,1826, 0.48, 0.00, 0.15,26-27,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 0,30, 0, 0, 1, 0, 0, 0, 34,210, 31, 51,230, 31,    ,  3.2,259,  6.8, 21.2,   .0
03017,19990331, 59.7,     , 27.7,     , 43.7,  5.7, 19.6, 33.7, 654,   0,-183,   0,     ,     ,    ,    ,24.45,30.17,30.36, 6 ,0847,29.17,31 ,1507, 0.19,-1.07, 0.11, 4   ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 1,22, 0, 0, 0, 0, 0, 0, 37,240, 30, 43,230, 30,    ,  2.9,178, 10.7, 21.1,   .0
03024,19990331, 59.0,     , 36.3,     , 47.7,   .0, 32.2, 40.2, 533,   2,-255,-255,     ,     ,    ,    ,26.83,30.09,30.39, 6 ,1212,29.43,31 ,1750, 2.09, 0.00, 0.71,18-19,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 1,12, 0, 0, 1,M ,M , 0, 38,360, 02, 49,360, 02,    ,  1.5,146, 11.9, 17.2,   .1
03026,19990331, 55.3,     , 25.7,     , 40.5,   .0, 25.8, 34.1, 752,   0,-255,-255,     ,     ,    ,    ,25.64,30.12,30.43,18 ,1041,29.25,31 ,1544, 0.24, 0.00, 0.14,12-13,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 4,25, 0, 0, 7, 0, 0, 0, 45,170, 07, 52,170, 07,    ,  4.5,176, 14.1, 24.3,   .0
03027,19990331, 54.5,     , 28.4,     , 41.5,   .0, 20.9, 32.8, 722,   0,-255,-255,     ,     ,    ,    ,23.06,30.00,30.36,19 ,1142,29.48,31 ,1714, 0.50, 0.00, 0.31, 19  ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 1,23, 0, 0,10,M ,M , 0, 41,260, 31, 48,080,+31,    ,  4.9,247, 14.6, 23.3,   .0
03028,19990331, 55.5,     , 26.2,     , 40.9, -1.5, 26.8, 35.0, 740,   0,  39,   0,     ,     ,    ,    ,25.48,30.11,30.40, 6 ,0953,29.25,31 ,1610, 1.07, 0.13, 0.62,18-19,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 3,25, 0, 0, 0,M ,M , 0, 44,320, 08, 51,320, 08,    ,  3.6,177, 13.9, 23.9,   .0
03029,19990331, 60.0,     , 21.1,     , 40.6,  2.1, 14.3, 31.1, 750,   0, -72,   0,     ,     ,    ,    ,23.36,29.96,30.25,29 ,0650,29.43,31 ,2250, 0.06, -.86, 0.05, 17  ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 0,29, 0, 0, 1, 0, 0, 0, 38,230, 31, 51,210, 31,    ,  4.8,234,  7.4, 24.2,   .0
03030,19990331, 56.7,     , 30.6,     , 43.7,  -.2, 30.2, 37.2, 655,   1,   1,   1,     ,     ,    ,    ,26.71,30.08,30.39, 6 ,1147,29.32,31 ,1809, 1.53, 0.66, 0.69,18-19,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 2,20, 0, 0, 3,M ,M , 0, 40,310, 08, 46,310, 08,    ,  1.5,139, 12.3, 21.1,   .0
03031,19990331, 70.6,     , 45.0,     , 57.8,   .0, 37.5, 47.6, 228,  13,-255,-255,     ,     ,    ,    ,26.85,29.93,30.31,20 ,1003,29.56,31 ,1828, 0.33, 0.00, 0.33, 27  ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 0, 2, 0, 0, 1,M ,M , 0, 33,290, 08, 40,260, 08,    ,  2.6,111, 12.0,  7.4,   .4
