Wban Number, YearMonthDay, Avg Max Temp, Departure Max Temp, Avg Min Temp, Departure Min Temp, Avg Temp, Departure from Normal, Avg Dew Point, Avg Wet Bulb, Heating Degree Days, Cooling Degree Days, HDD Monthly Departure, CDD Monthly Departure, HDD Season to Date, CDD Season to Date, HDD Season to Date Departure, CDD Season to Date Departure, Mean Station Pressure, Mean Sea Level Pressure, Max Sea Level Pressure, Date Max Sea Level Pressure, Time Max Sea Level Pressure,Min Sea Level Pressure, Date Min Sea Level Pressure, Time Min Sea Level Pressure, Total Monthly Precip, Departure from Normal Precip, Max 24 hr. Precip, Date Max 24 hr. Precip, Sunshine Minutes, Total Minutes Sunshine, Percent Possible Sunshine, Total Snowfall, Max 24 hr. Snowfall, Date Max 24 hr. Snowfall, Max 12Z Snow Depth, Date Max 12Z Snow Depth, Clear Sky Days, Partly Cloudy Days, Cloudy Days, Max Temp >= 90 Days, Max Temp <= 32 Days, Min Temp <= 32 Days, Min Temp <= 0 Days, Thunderstorm Days, Heavy Fog Days, Precip >= 1/100 Days, Precip >= 1/10 Days, Snowfall >= 1.0 inch Days, Max Wind Speed, Max Wind Direction, Max Wind Date, Peak Gust Speed, Peak Gust Direction, Peak Gust Date, Water Equivalent, Resultant Wind Speed, Resultant Wind Direction, Avg Wind Speed, Avg HDD, Avg CDD
03013,20000430, 71.7,     , 43.3,     , 57.5, 57.5, 31.3, 43.1,  22,   0,  22,   0,     ,     ,    ,    ,26.14,30.08,30.18,30 ,2141,29.58,29 ,1631, 1.92, 1.90, 1.92,29-30,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0,M ,M ,M ,M , 4, 0, 2, 2, 0, 49,350, 19, 59,340, 19,    ,  0.1,269,     ,     ,     
03016,20000430, 67.4,     , 32.1,     , 49.8,   .0, 25.0, 39.2, 451,   0, 259, 255,     ,     ,    ,    ,24.45,29.97,30.40, 4 ,0734,29.50,15 ,0041, 0.28, 0.00, 0.12, 15  ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 0,20, 0, 0, 0, 6, 1, 0, 48,270, 18, 60,250, 18,    ,  3.2,265,  7.2, 15.0,   .0
03017,20000430, 68.0,     , 35.7,     , 51.9,  5.1, 26.9, 39.4,  38,   0,-508,   0,     ,     ,    ,    ,24.47,30.08,30.30,30 ,1237,29.46,29 ,1518, 0.71,-1.00, 0.37,29-30,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 0,10, 0, 3, 2, 6, 3, 0, 45,300, 29, 53,310, 29,    ,  1.5,256, 12.4, 14.9,   .0
03024,20000430, 73.4,     , 46.8,     , 60.1,   .0, 35.7, 48.0, 185,  43,-255,-255,     ,     ,    ,    ,26.82,30.03,30.55, 8 ,0852,29.37,22 ,1722, 0.35, 0.00, 0.19, 30  ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 2, 0, 1, 0, 1, 0, 3, 1, 0, 39,260, 19, 46,250, 19,    ,  2.0,192, 12.5,  6.2,  1.4
03026,20000430, 67.5,     , 32.2,     , 49.9,   .0, 29.5, 40.5, 444,   0,-255,-255,     ,     ,    ,    ,25.62,30.07,30.48, 7 ,2218,29.33,18 ,1841, 1.15, 0.00, 0.78,29-30,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 1,17, 0, 0, 2, 5, 4, 0, 52,330, 19, 61,330, 19,    ,  2.7,301, 14.7, 14.8,   .0
03027,20000430, 64.2,     , 35.7,     , 50.0,   .0, 23.6, 38.3, 445,   0,-255,-255,     ,     ,    ,    ,23.14,29.99,30.46, 8 ,0749,29.48,15 ,0240, 0.51, 0.00, 0.21, 1   ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 1, 6, 0, 0, 5, 5, 2, 0, 49,230, 18, 60,230, 18,    ,  7.2,266, 16.2, 14.8,   .0
03028,20000430, 69.5,     , 34.6,     , 52.1,   .1, 31.8, 42.4, 354,   0, -42,  -6,     ,     ,    ,    ,25.50,30.06,30.46, 8 ,0546,29.22,22 ,1618, 0.48, -.50, 0.60,     ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0,M ,M ,M ,M , 0, 0, 7, 2, 0, 44,330, 19, 53,320, 19,    ,  2.7,262, 13.5, 12.7,   .0
03029,20000430, 66.1,     , 29.2,     , 47.7,  1.4, 21.4, 37.1, 513,   0, -48,   0,     ,     ,    ,    ,23.41,29.96,30.32, 4 ,0724,29.49,14 ,1657, 0.23, -.70, 0.63, 1   ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 0,20, 0, 0, 2, 4, 1, 0, 45,230, 18, 56,220, 18,    ,  4.0,250,  7.2, 17.1,   .0
03030,20000430, 72.5,     , 40.3,     , 56.4,  1.9, 35.8, 46.7, 264,  13, -63,   1,     ,     ,    ,    ,26.70,30.10,30.50, 8 ,0709,29.25,23 ,0008, 2.10, 1.20, 1.20, 24  ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 2, 0, 6, 0, 0, 1, 1, 1, 0, 37,020,+07, 47,020,+22,    ,  1.3,202, 12.6,  8.8,   .4
03031,20000430, 83.5,     , 54.7,     , 69.1,   .0, 40.8, 54.0,  71, 201,-255,-255,     ,     ,    ,    ,26.86,29.93,30.48, 8 ,1053,29.46,22 ,1654, 0.02, 0.00, 0.06, 1   ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0,13, 0, 0, 0, 0, 0, 1, 0, 0, 38,340, 30, 48,270,+30,    ,  3.0,157, 13.1,  2.4,  6.7
