Wban Number, YearMonthDay, Avg Max Temp, Departure Max Temp, Avg Min Temp, Departure Min Temp, Avg Temp, Departure from Normal, Avg Dew Point, Avg Wet Bulb, Heating Degree Days, Cooling Degree Days, HDD Monthly Departure, CDD Monthly Departure, HDD Season to Date, CDD Season to Date, HDD Season to Date Departure, CDD Season to Date Departure, Mean Station Pressure, Mean Sea Level Pressure, Max Sea Level Pressure, Date Max Sea Level Pressure, Time Max Sea Level Pressure,Min Sea Level Pressure, Date Min Sea Level Pressure, Time Min Sea Level Pressure, Total Monthly Precip, Departure from Normal Precip, Max 24 hr. Precip, Date Max 24 hr. Precip, Sunshine Minutes, Total Minutes Sunshine, Percent Possible Sunshine, Total Snowfall, Max 24 hr. Snowfall, Date Max 24 hr. Snowfall, Max 12Z Snow Depth, Date Max 12Z Snow Depth, Clear Sky Days, Partly Cloudy Days, Cloudy Days, Max Temp >= 90 Days, Max Temp <= 32 Days, Min Temp <= 32 Days, Min Temp <= 0 Days, Thunderstorm Days, Heavy Fog Days, Precip >= 1/100 Days, Precip >= 1/10 Days, Snowfall >= 1.0 inch Days, Max Wind Speed, Max Wind Direction, Max Wind Date, Peak Gust Speed, Peak Gust Direction, Peak Gust Date, Water Equivalent, Resultant Wind Speed, Resultant Wind Direction, Avg Wind Speed, Avg HDD, Avg CDD
03013,20001231, 42.1,     , 11.9,     , 27.0, 27.0, 16.0, 22.6,1094,   0, 109,   0,     ,     ,     ,     ,26.28,30.21,30.60, 2 ,0940,29.57,17 ,1617, 0.05, 0.00, 0.02, 5   ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0,M ,M ,M ,M , 0, 0, 4, 0, 0, 49,360, 17, 59,360, 17,    ,  0.7, 23,  8.3, 37.7,   .0
03016,20001231, 37.0,     , 12.6,     , 24.8,   .0, 15.3, 21.2,1236,   0, 267, 255,     ,     ,     ,     ,24.57,30.29,30.86,18 ,2132,29.67,10 ,1805, 0.34, 0.00, 0.10,12-13,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 7,31, 1, 0, 3, 6, 0, 0, 31,300, 17, 36,300, 17,    ,  0.8,236,  3.2, 39.9,   .0
03017,20001231, 41.9,     , 14.6,     , 28.3, -1.3, 14.9, 23.4,1131,   0,  34,   0,     ,     ,     ,     ,24.62,30.13,30.58, 4 ,0938,29.52,17 ,1415, 0.27, -.70, 0.10,10-11,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 4,31, 4, 0, 2, 6, 0, 0, 43,280, 17, 53,290, 17,    ,  2.0,215,  9.1, 36.5,   .0
03024,20001231, 43.5,     , 22.8,     , 33.2,   .0, 19.2, 27.8, 980,   0,-255,-255,     ,     ,     ,     ,26.97,30.22,30.67, 2 ,1053,29.61,15 ,1743, 1.11, 0.00, 0.94,26-27,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 8,28, 0, 0, 2, 4, 3, 0, 35,360,+18, 45,320, 17,    ,  0.7,270,  9.9, 26.4,   .0
03026,20001231, 41.5,     , 12.9,     , 27.2,   .0, 14.4, 22.3,1164,   0,-255,-255,     ,     ,     ,     ,25.75,30.18,30.58, 2 ,0952,29.58,17 ,1543, 0.05, 0.00, 0.05,30-31,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 7,31, 1, 0, 2, 2, 0, 0, 49,340, 17, 59,350, 17,    ,  3.4,298, 11.9, 33.4,   .0
03027,20001231, 40.8,     , 18.9,     , 29.9,   .0, 16.3, 24.4,1082,   0,-255,-255,     ,     ,     ,     ,23.14,30.18,30.63,18 ,1941,29.71,13 ,0117, 0.45, 0.00, 0.45,26-27,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 7,31, 0, 0, 3, 0, 0, 0, 52,290, 15, 62,290,+16,    , 10.0,285, 15.8, 34.9,   .0
03028,20001231, 43.9,     , 15.7,     , 29.8, -3.8, 17.1, 24.8,1050,   0,  77,   0,     ,     ,     ,     ,25.59,30.13,30.51, 4 ,1851,29.53,15 ,1417, 0.01, -.70, 0.01, 27  ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0,M ,M ,M ,M , 0, 0, 1, 0, 0, 53,330, 17, 62,330, 17,    ,  2.7,279, 11.4, 31.6,   .0
03029,20001231, 46.4,     , 12.1,     , 29.3,  -.9,     ,     , 958,   0,-121,   0,     ,     ,     ,     ,23.49,     ,30.69,18 ,2027,29.61,12 ,1357, 0.40, -.60, 0.33, 26  ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0,M ,M ,M ,M , 0, 4, 5, 1, 0, 33,260, 15, 40,260, 15,    ,  1.8,260,  4.1,     ,     
03030,20001231, 43.7,     , 18.7,     , 31.2, -2.7, 17.6, 25.9,1040,   0,  76,   0,     ,     ,     ,     ,26.84,30.17,30.63, 2 ,1106,29.54,20 ,0451, 0.05, -.70, 0.04, 27  ,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 8,31, 0, 0, 1, 2, 0, 0, 55,340, 17, 69,340, 17,    ,  1.3,326, 10.4, 33.6,   .0
03031,20001231, 52.8,     , 31.6,     , 42.2,   .0, 27.4, 35.8, 700,   0,-255,-255,     ,     ,     ,     ,27.02,30.17,30.54, 2 ,1026,29.72,20 ,1422, 0.13, 0.00, 0.13,25-26,     ,     ,   ,    ,    ,   ,  0 ,   , 0, 0, 0, 0, 2,18, 0, 1, 2, 1, 1, 0, 35,010, 06, 45,020, 06,    ,  0.6, 81,  9.6, 21.8,   .0
