WBAN,YearMonth,AvgMaxTemp,DepartureMaxTemp,AvgMinTemp,DepartureMinTemp,AvgTemp,DeparturefromNormal,AvgDewPoint,AvgWetBulb,HeatingDegreeDays,CoolingDegreeDays,HDDMonthlyDeparture,CDDMonthlyDeparture,HDDSeasonToDate,CDDSeasonToDate,HDDSeasonToDateDeparture,CDDSeasonToDateDeparture,MeanStationPressure,MeanSeaLevelPressure,MaxSeaLevelPressure,DateMaxSeaLevelPressure,TimeMaxSeaLevelPressure,MinSeaLevelPressure,DateMinSeaLevelPressure,TimeMinSeaLevelPressure,TotalMonthlyPrecip,DepartureFromNormalPrecip,Max24HrPrecip,DateMax24HrPrecip,TotalSnowfall,Max24HrSnowfall,DateMax24HrSnowfall,Max12ZSnowDepth,DateMax12ZSnowDepth,MaxTemp>=90Days,MaxTemp<=32Days,MinTemp<=32Days,MinTemp<=0Days,ThunderstormDays,HeavyFogDays,DaysWithPrecip>=.01inch,DaysWithPrecip>=.10inch,DaysWithSnowfall>=1.0inch,WaterEquivalent,ResultantWindSpeed,ResultantWindDirection,AvgWindSpeed,AvgHDD,AvgCDD
03013,201302,51.4,M,15.4,M,33.4,M,15.4,27.0,880,0,M,M,M,M,M,M,26.15,29.98,30.44,15,2006,29.30,09,1518,0.10,M,0.09,20-21,M,M,M,M,M,0,1,28,0,0,0,2,0,M,M,1.1,29,10.1,31.4,0.0
03016,201302,M,M,M,M,M,M,M,M,1056,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.07,M,M,M,M,M,M,M,M,M,M,M,M,0,0,M,M,M,M,3.4,26,5.9,37.7,0.0
03017,201302,43.3,-2.9,16.9,-2.0,30.1,-2.4,11.7,23.6,947,0,39,0,M,M,M,M,24.50,29.97,30.41,15,1904,29.43,17,1645,0.59,0.27,0.25,24,M,M,M,M,M,0,6,28,0,0,2,6,4,4,M,1.7,23,10.3,35.1,0.0
03024,201302,51.8,M,28.6,M,40.2,M,22.7,33.2,686,0,M,M,M,M,M,M,26.83,30.00,30.42,16,0146,29.45,09,1659,1.36,M,0.57,20-21,M,M,M,M,M,0,0,20,0,0,2,6,4,M,M,0.6,22,9.5,24.5,0.0
03026,201302,45.3,M,15.6,M,30.5,M,16.0,25.3,960,0,M,M,M,M,M,M,25.66,30.01,30.45,15,1914,29.31,09,1610,0.03,M,0.03,20-21,M,M,M,M,M,0,3,28,0,0,2,2,0,M,M,M,M,M,34.3,0.0
03027,201302,44.4,M,19.8,M,32.1,M,12.3,24.7,914,0,M,M,M,M,M,M,23.05,29.97,30.39,28,0804,29.41,21,0313,0.76,M,0.66,24-25,M,M,M,M,M,0,2,28,0,0,1,5,2,M,M,11.5,28,16.3,32.6,0.0
03028,201302,49.2,M,19.8,M,34.5,M,M,M,847,0,M,M,M,M,M,M,25.50,29.95,30.41,15,2039,29.33,09,1616,0.11,M,0.06,20,M,M,M,M,M,0,1,28,0,0,0,3,0,M,M,M,M,12.8,30.3,0.0
03029,201302,43.7,M,16.0,M,29.9,M,13.0,23.4,M,M,M,M,M,M,M,M,23.41,30.01,30.47,16,0801,29.48,20,1313,0.15,M,0.06,09-10,M,M,M,M,M,0,4,28,0,0,2,4,0,M,M,2.5,28,5.7,M,M
03030,201302,50.5,M,23.6,M,37.1,M,21.5,31.0,775,0,M,M,M,M,M,M,26.75,29.98,30.41,15,2355,29.37,09,1753,0.02,M,0.02,24-25,M,M,M,M,M,0,1,28,0,0,1,2,0,M,M,2.0,30,11.0,27.7,0.0
03031,201302,M,M,M,M,M,M,M,M,442,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.04,M,M,M,M,M,M,M,M,M,M,M,M,0,0,M,M,M,M,1.2,22,10.3,15.8,0.0
03032,201302,70.0,M,41.5,M,55.8,M,27.3,43.6,253,0,M,M,M,M,M,M,27.58,29.94,30.42,16,0912,29.44,20,1840,0.00,M,0.00,M,M,M,M,M,M,0,0,2,0,0,0,0,0,M,M,2.0,36,8.8,9.0,0.0
03035,201302,M,M,M,M,M,M,14.6,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M,M,M,0,0,M,M,M,M,4.4,25,11.3,M,M
