WBAN,YearMonth,AvgMaxTemp,DepartureMaxTemp,AvgMinTemp,DepartureMinTemp,AvgTemp,DeparturefromNormal,AvgDewPoint,AvgWetBulb,HeatingDegreeDays,CoolingDegreeDays,HDDMonthlyDeparture,CDDMonthlyDeparture,HDDSeasonToDate,CDDSeasonToDate,HDDSeasonToDateDeparture,CDDSeasonToDateDeparture,MeanStationPressure,MeanSeaLevelPressure,MaxSeaLevelPressure,DateMaxSeaLevelPressure,TimeMaxSeaLevelPressure,MinSeaLevelPressure,DateMinSeaLevelPressure,TimeMinSeaLevelPressure,TotalMonthlyPrecip,DepartureFromNormalPrecip,Max24HrPrecip,DateMax24HrPrecip,TotalSnowfall,Max24HrSnowfall,DateMax24HrSnowfall,Max12ZSnowDepth,DateMax12ZSnowDepth,MaxTemp>=90Days,MaxTemp<=32Days,MinTemp<=32Days,MinTemp<=0Days,ThunderstormDays,HeavyFogDays,DaysWithPrecip>=.01inch,DaysWithPrecip>=.10inch,DaysWithSnowfall>=1.0inch,WaterEquivalent,ResultantWindSpeed,ResultantWindDirection,AvgWindSpeed,AvgHDD,AvgCDD
00130,201504,M,M,M,M,M,M,62.4,M,5,208,M,M,M,M,M,M,M,M,M,M,M,M,M,M,6.39,M,M,M,M,M,M,M,M,M,M,M,M,5,3,M,M,M,M,2.4,09,5.6,0.2,7.2
00133,201504,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,2.73,M,M,M,M,M,M,M,M,M,M,M,M,0,3,M,M,M,M,M,M,3.1,M,M
00166,201504,M,M,M,M,M,M,M,M,23,187,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1.22,M,M,M,M,M,M,M,M,M,M,M,M,3,5,M,M,M,M,M,M,7.4,0.8,6.2
00209,201504,M,M,M,M,M,M,M,M,101,52,M,M,M,M,M,M,M,M,M,M,M,M,M,M,4.39,M,M,M,M,M,M,M,M,M,M,M,M,8,1,M,M,M,M,M,M,7.5,3.5,1.8
00225,201504,M,M,M,M,M,M,59.1,M,28,183,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1.61,M,M,M,M,M,M,M,M,M,M,M,M,7,0,M,M,M,M,2.1,17,5.3,0.9,6.1
00362,201504,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1,2,M,M,M,M,2.2,17,5.9,M,M
00369,201504,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,1,M,M,M,M,M,M,M,M,M
00428,201504,M,M,M,M,M,M,57.6,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,5,2,M,M,M,M,0.3,20,5.1,M,M
03013,201504,71.7,M,37.5,M,54.6,M,33.5,44.8,305,0,M,M,M,M,M,M,26.11,29.83,30.37,03,1023,29.31,08,1724,1.06,M,0.55,16-17,M,M,M,M,M,0,0,2,0,0,0,7,3,M,M,2.1,12,11.2,10.2,0.0
03016,201504,M,M,M,M,M,M,22.2,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1.37,M,M,M,M,M,M,M,M,M,M,M,M,0,2,M,M,M,M,3.4,26,7.1,M,M
03017,201504,62.1,0.6,35.3,2.0,48.7,1.3,30.4,40.3,481,0,-48,-1,5205,0,-526,-1,24.52,29.86,30.38,03,1008,29.35,08,1439,2.65,0.94,1.41,16-17,M,M,M,M,M,0,0,7,0,2,4,8,5,1,M,0.6,02,10.7,16.0,0.0
03024,201504,74.8,M,48.5,M,61.7,M,36.4,48.9,141,49,M,M,M,M,M,M,26.77,29.86,30.42,04,0123,29.42,08,1750,4.40,M,3.08,26-27,M,M,M,M,M,2,0,0,0,6,0,8,5,M,M,2.5,17,11.6,4.7,1.6
03026,201504,66.2,M,37.4,M,51.8,M,34.7,43.2,388,0,M,M,M,M,M,M,25.65,29.88,30.41,03,1034,29.43,24,1505,2.36,M,1.24,16,M,M,M,M,M,0,0,8,0,1,4,10,4,M,M,2.2,12,13.8,12.9,0.0
03027,201504,63.4,M,34.3,M,48.9,M,20.2,37.0,476,0,M,M,M,M,M,M,23.10,29.87,30.29,04,0752,29.52,08,1723,0.53,M,0.40,26-27,M,M,M,M,M,0,0,10,0,0,0,3,3,M,M,7.6,26,15.0,15.9,0.0
03028,201504,68.3,M,35.7,M,52.0,M,30.2,42.3,383,0,M,M,M,M,M,M,25.48,29.83,30.37,03,2218,29.38,08,1629,0.85,M,0.35,16-17,M,M,M,M,M,0,0,5,0,0,0,7,4,M,M,2.0,22,13.0,12.8,0.0
03029,201504,64.8,M,29.4,M,47.1,M,15.7,35.7,532,0,M,M,M,M,M,M,23.41,29.84,30.18,03,0946,29.57,26,0528,0.45,M,0.42,25-26,M,M,M,M,M,0,0,20,0,0,0,4,2,M,M,4.2,24,7.7,17.7,0.0
03030,201504,73.8,M,42.5,M,58.2,M,36.7,47.7,213,16,M,M,M,M,M,M,26.70,29.84,30.39,04,0208,29.35,24,1522,1.46,M,1.13,26-27,M,M,M,M,M,0,0,2,0,0,0,6,3,M,M,2.1,17,12.4,7.1,0.5
03031,201504,79.0,M,52.9,M,66.0,M,41.8,53.1,64,102,M,M,M,M,M,M,26.85,29.85,30.34,04,0930,29.44,26,1557,0.97,M,0.72,12-13,M,M,M,M,M,2,0,0,0,2,0,3,2,M,M,3.5,20,12.0,2.1,3.4
03032,201504,82.5,M,58.1,M,70.3,M,50.1,58.8,19,183,M,M,M,M,M,M,27.52,29.84,30.27,04,1041,29.36,26,1727,1.73,M,0.84,12,M,M,M,M,M,5,0,0,0,0,0,7,3,M,M,1.4,06,8.6,0.6,6.1
03035,201504,M,M,M,M,M,M,33.3,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.58,M,M,M,M,M,M,M,M,M,M,M,M,0,0,M,M,M,M,5.0,23,12.1,M,M
03044,201504,M,M,M,M,M,M,44.2,M,52,151,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.11,M,M,M,M,M,M,M,M,M,M,M,M,4,0,M,M,M,M,3.8,17,11.5,1.7,5.0
03047,201504,80.0,M,51.8,M,65.9,M,M,M,61,95,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1.35,M,M,M,M,M,M,M,M,2,0,0,0,0,0,0,0,M,M,M,M,M,2.0,3.2
03048,201504,73.3,M,41.8,M,57.5,M,M,M,219,2,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.24,M,M,M,M,M,M,M,M,0,0,2,0,0,0,0,0,M,M,M,M,M,7.3,0.1
03049,201504,M,M,M,M,M,M,38.2,M,123,27,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.71,M,M,M,M,M,M,M,M,M,M,M,M,4,0,M,M,M,M,4.7,25,9.3,4.1,0.9
03050,201504,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1.94,M,M,M,M,M,M,M,M,M,M,M,M,0,1,M,M,M,M,2.5,16,10.8,M,M
03054,201504,74.0,M,40.3,M,57.1,M,M,M,232,2,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.96,M,M,M,M,M,M,M,M,0,0,2,0,0,0,0,0,M,M,M,M,M,7.7,0.1
03055,201504,73.0,M,41.3,M,57.1,M,M,M,243,6,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1.78,M,M,M,M,M,M,M,M,0,0,2,0,0,0,0,0,M,M,M,M,M,8.4,0.2
03056,201504,M,M,M,M,M,M,38.9,M,117,42,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.98,M,M,M,M,M,M,M,M,M,M,M,M,0,2,M,M,M,M,2.9,24,9.5,3.9,1.4
03058,201504,M,M,M,M,M,M,39.3,M,56,71,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.12,M,M,M,M,M,M,M,M,M,M,M,M,2,0,M,M,M,M,1.2,25,8.6,1.9,2.4
03060,201504,51.7,M,29.5,M,40.6,M,M,M,722,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1.99,M,M,M,M,M,M,M,M,0,2,18,0,0,0,0,0,M,M,M,M,M,24.1,0.0
03061,201504,55.9,M,34.5,M,45.2,M,M,M,588,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1.41,M,M,M,M,M,M,M,M,0,0,11,0,0,0,0,0,M,M,M,M,M,19.6,0.0
03062,201504,53.0,M,26.5,M,39.8,M,M,M,747,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,1.39,M,M,M,M,M,M,M,M,0,0,27,0,0,0,0,0,M,M,M,M,M,24.9,0.0
03063,201504,70.7,M,34.5,M,52.6,M,M,M,351,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.85,M,M,M,M,M,M,M,M,0,0,9,0,0,0,0,0,M,M,M,M,M,12.1,0.0
03067,201504,69.2,M,38.2,M,53.7,M,M,M,329,4,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.80,M,M,M,M,M,M,M,M,0,0,7,0,0,0,0,0,M,M,M,M,M,11.3,0.1
03068,201504,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,23.98,M,30.18,06,2243,30.01,08,2130,0.00,M,0.00,M,M,M,M,M,M,M,M,M,M,4,1,0,0,M,M,1.5,09,11.4,M,M
03071,201504,M,M,M,M,M,M,43.5,M,57,124,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.47,M,M,M,M,M,M,M,M,M,M,M,M,5,0,M,M,M,M,3.3,20,10.5,2.0,4.3
03072,201504,77.4,M,52.5,M,65.0,M,M,M,76,87,M,M,M,M,M,M,M,M,M,M,M,M,M,M,3.43,M,M,M,M,M,M,M,M,1,0,0,0,0,0,0,0,M,M,M,M,M,2.5,2.9
03074,201504,75.4,M,39.1,M,57.2,M,M,M,227,0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.19,M,M,M,M,M,M,M,M,0,0,4,0,0,0,0,0,M,M,M,M,M,7.6,0.0
03102,201504,77.8,M,53.1,M,65.5,M,39.0,52.2,56,77,M,M,M,M,M,M,28.97,29.92,30.09,14,0901,29.75,30,1705,0.50,M,0.42,25,M,M,M,M,M,3,0,0,0,0,0,2,1,M,M,4.6,25,6.9,1.9,2.6
03103,201504,58.9,0.7,27.8,-0.7,43.4,0.1,17.8,33.8,642,0,-7,0,5400,0,-956,0,23.18,29.91,30.23,03,1019,29.64,26,0202,1.09,-0.06,0.67,24-25,M,M,M,M,M,0,0,25,0,1,0,4,2,0,M,4.9,22,8.3,21.4,0.0
03104,201504,88.3,0.9,55.1,1.9,71.7,1.4,33.0,54.1,0,201,-23,19,M,M,M,M,29.96,29.84,30.11,03,1031,29.63,20,1801, T ,-0.06,T,M,M,M,M,M,M,12,0,0,0,0,0,0,0,M,M,3.9,33,8.3,0.0,6.9
03124,201504,75.6,M,48.2,M,61.9,M,23.0,44.9,92,7,M,M,M,M,M,M,25.27,29.89,30.12,13,2105,29.66,26,0304,0.43,M,0.36,12,M,M,M,M,M,0,0,0,0,0,0,2,1,M,M,5.9,24,9.8,3.1,0.2
03131,201504,74.3,M,54.7,M,64.5,M,46.6,55.0,51,44,M,M,M,M,M,M,29.50,29.95,30.09,14,1028,29.79,30,1657,0.07,M,0.06,23-24,M,M,M,M,M,2,0,0,0,0,0,3,0,M,M,3.5,27,6.0,1.8,1.5
03144,201504,86.7,M,56.6,M,71.7,M,35.6,54.2,3,210,M,M,M,M,M,M,29.91,29.85,30.09,03,0942,29.64,20,1745, T ,M,T,M,M,M,M,M,M,9,0,0,0,0,0,0,0,M,M,5.1,27,8.6,0.1,7.0
03145,201504,87.4,M,60.9,M,74.2,M,34.2,M,M,M,M,M,M,M,M,M,29.64,29.85,30.07,03,1037,29.67,30,1914, T ,M,M,M,M,M,M,M,M,11,0,0,0,1,0,0,0,M,M,1.8,29,7.3,M,M
03154,201504,M,M,M,M,M,M,44.0,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0,0,M,M,M,M,2.4,24,M,M,M
03159,201504,76.1,2.9,49.3,4.4,62.7,3.6,28.7,45.7,184,17,-23,-11,2271,23,-597,-7,27.48,29.90,30.12,27,0627,29.77,21,0350, T ,-0.35,T,M,M,M,M,M,M,1,0,0,0,0,0,0,0,M,M,9.7,25,13.0,6.3,0.6
03160,201504,75.7,2.0,46.1,0.4,60.9,1.2,16.3,42.9,142,25,-49,-7,2057,35,-887,1,26.51,29.84,30.21,03,0906,29.49,05,1829,0.10,-0.23,0.10,25,M,M,M,M,M,0,0,0,0,0,0,1,1,0,M,1.6,18,10.7,4.7,0.8
03162,201504,72.0,M,46.8,M,59.4,M,18.6,42.6,M,M,M,M,M,M,M,M,25.56,29.83,30.29,03,0956,29.55,25,1537, T ,M,T,M,M,M,M,M,M,0,0,0,0,0,0,0,0,M,M,2.2,27,6.1,M,M
03164,201504,72.3,M,38.1,M,55.2,M,33.3,45.4,288,5,M,M,M,M,M,M,27.21,29.88,30.04,16,2316,29.75,30,1543,0.27,M,0.18,25,M,M,M,M,M,0,0,4,0,0,0,3,1,M,M,2.0,23,9.1,9.6,0.2
03166,201504,78.0,M,55.4,M,66.7,M,43.1,54.6,31,87,M,M,M,M,M,M,29.83,29.93,30.10,14,0949,29.77,30,1706,0.22,M,0.21,07,M,M,M,M,M,4,0,0,0,0,0,2,1,M,M,1.6,21,4.1,1.0,2.9
03167,201504,73.5,M,57.5,M,65.5,M,47.2,55.6,35,58,M,M,M,M,M,M,29.88,29.95,30.12,14,0806,29.79,30,0207,0.26,M,0.23,07,M,M,M,M,M,0,0,0,0,0,0,2,1,M,M,4.7,26,5.7,1.2,1.9
03170,201504,61.9,M,25.0,M,43.5,M,16.3,33.7,640,0,M,M,M,M,M,M,24.11,29.92,30.36,03,0651,29.45,05,1404,0.35,M,0.21,07-08,M,M,M,M,M,0,0,26,0,0,0,6,1,M,M,1.5,27,8.2,21.3,0.0
03171,201504,78.8,M,52.4,M,65.6,M,38.8,52.3,52,78,M,M,M,M,M,M,29.05,29.91,30.07,14,0955,29.74,30,1625,0.37,M,0.31,25,M,M,M,M,M,3,0,0,0,0,0,2,1,M,M,3.1,28,5.7,1.7,2.6
03177,201504,69.8,M,55.8,M,62.8,M,48.1,54.9,79,21,M,M,M,M,M,M,29.59,29.94,30.09,14,1005,29.78,30,0209,0.29,M,0.21,23-24,M,M,M,M,M,0,0,0,0,0,0,4,1,M,M,2.9,25,4.7,2.6,0.7
03178,201504,M,M,M,M,M,M,46.5,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.25,M,M,M,M,M,M,M,M,M,M,M,M,0,1,M,M,M,M,2.9,27,5.5,M,M
03179,201504,80.4,M,49.3,M,64.9,M,41.1,52.8,52,56,M,M,M,M,M,M,29.23,29.94,30.11,14,0959,29.78,30,1744,0.14,M,0.11,25,M,M,M,M,M,4,0,0,0,0,0,2,1,M,M,4.4,25,6.4,1.7,1.9
03184,201504,82.8,M,55.9,M,69.4,M,24.6,M,M,M,M,M,M,M,M,M,28.31,29.82,30.04,03,1027,29.64,20,1852,0.59,M,0.39,25-26,M,M,M,M,M,3,0,0,0,0,0,3,3,M,M,1.7,22,6.0,M,M
