WBAN,YearMonth,AvgMaxTemp,DepartureMaxTemp,AvgMinTemp,DepartureMinTemp,AvgTemp,DeparturefromNormal,AvgDewPoint,AvgWetBulb,HeatingDegreeDays,CoolingDegreeDays,HDDMonthlyDeparture,CDDMonthlyDeparture,HDDSeasonToDate,CDDSeasonToDate,HDDSeasonToDateDeparture,CDDSeasonToDateDeparture,MeanStationPressure,MeanSeaLevelPressure,MaxSeaLevelPressure,DateMaxSeaLevelPressure,TimeMaxSeaLevelPressure,MinSeaLevelPressure,DateMinSeaLevelPressure,TimeMinSeaLevelPressure,TotalMonthlyPrecip,DepartureFromNormalPrecip,Max24HrPrecip,DateMax24HrPrecip,TotalSnowfall,Max24HrSnowfall,DateMax24HrSnowfall,Max12ZSnowDepth,DateMax12ZSnowDepth,MaxTemp>=90Days,MaxTemp<=32Days,MinTemp<=32Days,MinTemp<=0Days,ThunderstormDays,HeavyFogDays,DaysWithPrecip>=.01inch,DaysWithPrecip>=.10inch,DaysWithSnowfall>=1.0inch,WaterEquivalent,ResultantWindSpeed,ResultantWindDirection,AvgWindSpeed,AvgHDD,AvgCDD
03013,201406,91.7,M,57.9,M,74.8,M,48.4,59.5,9,303,M,M,M,M,M,M,26.10,29.74,30.10,12,0732,29.29,14,1616,1.27,M,0.37,07-08,M,M,M,M,M,19,0,0,0,4,0,7,4,M,M,3.6,16,12.6,0.3,10.4
03016,201406,M,M,M,M,M,M,28.0,48.0,40,82,M,M,M,M,M,M,M,M,M,M,M,M,M,M,0.11,M,M,M,M,M,M,M,M,M,M,M,M,0,0,M,M,M,M,2.8,25,7.8,1.3,2.7
03017,201406,83.4,1.0,51.2,-1.1,67.3,-0.1,43.5,54.0,30,106,-32,-27,6004,127,-54,-28,24.55,29.80,30.10,09,0607,29.41,14,0325,1.82,-0.16,0.51,27-28,M,M,M,M,M,6,0,0,0,15,2,8,4,0,M,2.2,15,10.5,1.0,3.5
03024,201406,91.0,M,65.9,M,78.5,M,M,M,M,M,M,M,M,M,M,M,26.75,29.81,30.08,24,2204,29.47,27,1851,0.32,M,0.32,24-25,M,M,M,M,M,M,M,M,M,2,0,2,2,M,M,7.5,18,13.1,M,M
03026,201406,83.9,M,54.6,M,69.3,M,51.5,58.6,38,162,M,M,M,M,M,M,25.65,29.80,30.14,12,0745,29.36,14,1702,0.38,M,0.30,21-22,M,M,M,M,M,8,0,0,0,8,1,6,2,M,M,3.3,15,13.4,1.3,5.6
03027,201406,85.4,M,53.4,M,69.4,M,32.1,50.5,M,M,M,M,M,M,M,M,23.18,29.83,30.02,25,0823,29.56,14,1612,M,M,0.00,M,M,M,M,M,M,3,0,0,0,0,0,0,0,M,M,6.6,25,14.3,M,M
03028,201406,86.2,M,56.4,M,71.3,M,49.7,58.8,22,217,M,M,M,M,M,M,25.50,29.76,30.07,12,1111,29.35,14,1832,0.57,M,0.48,30,M,M,M,M,M,12,0,0,0,0,0,3,1,M,M,5.1,19,14.5,0.8,7.5
03029,201406,87.3,M,47.0,M,67.2,M,16.8,46.2,11,86,M,M,M,M,M,M,23.48,29.75,29.99,20,0601,29.55,27,1849,0.00,M,0.00,M,M,M,M,M,M,4,0,0,0,0,0,0,0,M,M,6.9,24,8.7,0.4,3.0
03030,201406,89.6,M,62.8,M,76.2,M,57.7,64.5,5,349,M,M,M,M,M,M,26.67,29.75,30.08,24,2006,29.36,14,2030,2.34,M,0.79,M,M,M,M,M,M,15,0,0,0,5,0,8,6,M,M,6.1,18,14.0,0.2,11.6
03031,201406,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,26.82,M,30.02,20,0909,29.55,27,1831,0.52,M,0.43,24,M,M,M,M,M,M,M,M,M,0,0,4,1,M,M,M,M,M,M,M
