YEAR,STATE,ENERGY SOURCE,GENERATION (Megawatthours),,,,,,
1990,IN,Other Biomass,"37,117",,,,,,
1990,IN,Other Gases,"1,674,549",,,,,,
1990,IN,Petroleum,"868,038",,,,,,
1990,KS,Total,"34,184,857",,,,,,
1990,KS,Coal,"23,720,258",,,,,,
1990,KS,Hydroelectric Conventional,"13,234",,,,,,
1990,KS,Natural Gas,"2,502,807",,,,,,
1990,KS,Nuclear,"7,874,487",,,,,,
1990,KS,Petroleum,"74,026",,,,,,
1990,KS,Wind,45,,,,,,
1990,KY,Total,"73,807,286",,,,,,
1990,KY,Coal,"70,500,461",,,,,,
1990,KY,Hydroelectric Conventional,"3,160,383",,,,,,
1990,KY,Natural Gas,"27,796",,,,,,
1990,KY,Petroleum,"118,646",,,,,,
1990,LA,Total,"76,465,630",,,,,,
1990,LA,Coal,"17,856,687",,,,,,
1990,LA,Hydroelectric Conventional,"656,492",,,,,,
1990,LA,Natural Gas,"39,474,866",,,,,,
1990,LA,Nuclear,"14,196,784",,,,,,
1990,LA,Other,"1,292,819",,,,,,
1990,LA,Other Biomass,"91,646",,,,,,
1990,LA,Other Gases,"440,700",,,,,,
1990,LA,Petroleum,"232,098",,,,,,
1990,LA,Wood and Wood Derived Fuels,"2,223,538",,,,,,
1990,MA,Total,"39,811,011",,,,,,
1990,MA,Coal,"11,365,893",,,,,,
1990,MA,Hydroelectric Conventional,"1,249,242",,,,,,
1990,MA,Natural Gas,"6,132,702",,,,,,
1990,MA,Nuclear,"5,069,620",,,,,,
1990,MA,Other Biomass,"1,560,515",,,,,,
1990,MA,Other Gases,830,,,,,,
1990,MA,Petroleum,"15,101,792",,,,,,
1990,MA,Pumped Storage,"-669,583",,,,,,
1990,MA,Wood and Wood Derived Fuels,0,,,,,,
1990,MD,Total,"33,162,292",,,,,,
1990,MD,Coal,"23,509,862",,,,,,
1990,MD,Hydroelectric Conventional,"2,298,910",,,,,,
1990,MD,Natural Gas,"1,522,443",,,,,,
1990,MD,Nuclear,"1,251,416",,,,,,
1990,MD,Other Biomass,"371,074",,,,,,
1990,MD,Other Gases,"488,197",,,,,,
1990,MD,Petroleum,"3,571,272",,,,,,
1990,MD,Wood and Wood Derived Fuels,"149,118",,,,,,
1990,ME,Total,"15,946,014",,,,,,
1990,ME,Coal,"453,218",,,,,,
1990,ME,Hydroelectric Conventional,"4,090,536",,,,,,
1990,ME,Natural Gas,"50,786",,,,,,
1990,ME,Nuclear,"4,860,727",,,,,,
1990,ME,Other Biomass,"360,798",,,,,,
1990,ME,Petroleum,"3,081,100",,,,,,
1990,ME,Wood and Wood Derived Fuels,"3,048,849",,,,,,
1990,MI,Total,"100,059,737",,,,,,
1990,MI,Coal,"67,066,870",,,,,,
1990,MI,Hydroelectric Conventional,"1,627,918",,,,,,
1990,MI,Natural Gas,"7,837,956",,,,,,
1990,MI,Nuclear,"21,610,500",,,,,,
1990,MI,Other Biomass,"310,842",,,,,,
1990,MI,Other Gases,"340,949",,,,,,
1990,MI,Petroleum,"861,725",,,,,,
1990,MI,Pumped Storage,"-694,986",,,,,,
1990,MI,Wood and Wood Derived Fuels,"1,097,963",,,,,,
1990,MN,Total,"43,070,376",,,,,,
1990,MN,Coal,"28,176,280",,,,,,
1990,MN,Hydroelectric Conventional,"857,046",,,,,,
1990,MN,Natural Gas,"539,839",,,,,,
1990,MN,Nuclear,"12,139,302",,,,,,
1990,MN,Other Biomass,"484,811",,,,,,
1990,MN,Petroleum,"447,814",,,,,,
1990,MN,Wind,266,,,,,,
1990,MN,Wood and Wood Derived Fuels,"425,018",,,,,,
1990,MO,Total,"59,352,830",,,,,,
1990,MO,Coal,"48,796,793",,,,,,
1990,MO,Hydroelectric Conventional,"2,192,115",,,,,,
1990,MO,Natural Gas,"312,109",,,,,,
1990,MO,Nuclear,"7,998,039",,,,,,
1990,MO,Petroleum,"90,033",,,,,,
1990,MO,Pumped Storage,"-36,259",,,,,,
1990,MS,Total,"25,201,417",,,,,,
1990,MS,Coal,"9,526,527",,,,,,
1990,MS,Natural Gas,"5,919,664",,,,,,
1990,MS,Nuclear,"7,422,131",,,,,,
1990,MS,Petroleum,"738,971",,,,,,
1990,MS,Wood and Wood Derived Fuels,"1,594,124",,,,,,
1990,MT,Total,"26,029,772",,,,,,
1990,MT,Coal,"15,119,619",,,,,,
1990,MT,Hydroelectric Conventional,"10,716,817",,,,,,
1990,MT,Natural Gas,"55,255",,,,,,
1990,MT,Petroleum,"28,982",,,,,,
1990,MT,Wind,0,,,,,,
1990,MT,Wood and Wood Derived Fuels,"109,099",,,,,,
1990,NC,Total,"84,925,767",,,,,,
1990,NC,Coal,"49,821,595",,,,,,
1990,NC,Hydroelectric Conventional,"6,819,427",,,,,,
1990,NC,Natural Gas,"203,465",,,,,,
1990,NC,Nuclear,"25,905,319",,,,,,
1990,NC,Other,"203,406",,,,,,
1990,NC,Other Biomass,"26,270",,,,,,
1990,NC,Petroleum,"328,025",,,,,,
1990,NC,Pumped Storage,"180,046",,,,,,
1990,NC,Wood and Wood Derived Fuels,"1,438,214",,,,,,
1990,ND,Total,"26,993,261",,,,,,
1990,ND,Coal,"25,189,003",,,,,,
1990,ND,Hydroelectric Conventional,"1,711,148",,,,,,
1990,ND,Natural Gas,"51,563",,,,,,
1990,ND,Petroleum,"41,547",,,,,,
1990,NE,Total,"21,633,587",,,,,,
