,State,Year,TempSummer,TempWinter
0,AK,1996,55.0,31.32
1,AK,1997,53.38696969696969,27.537820512820513
2,AK,1998,53.293705024097186,17.716719576719573
3,AK,1999,54.316564564564565,8.30572889963134
4,AK,2000,52.225,20.12325581395349
5,AK,2001,53.2878393570254,15.282610993657508
6,AK,2002,54.824999999999996,13.75952380952381
7,AK,2003,52.30232558139534,12.611627906976743
8,AK,2004,58.32727272727273,15.888372093023259
9,AK,2005,54.7939091915836,16.910694150810432
10,AK,2006,55.58421052631579,3.6500000000000012
11,AK,2007,52.64878048780488,9.279069767441861
12,AK,2008,53.36829268292683,7.904878048780488
13,AK,2009,53.739657651678556,11.596736675700091
14,AK,2010,51.26546578956385,14.299109351806038
15,AK,2011,52.65565217391305,21.36125364031932
16,AK,2012,52.68840067340068,7.825705279747832
17,AK,2013,55.79766233766235,15.731509295857121
18,AK,2014,53.35281922569157,18.54113433991483
19,AK,2015,54.67323361118512,16.39704196217494
20,AK,2016,56.16227208848996,19.93927316644708
21,AL,1996,80.23333333333333,50.260000000000005
22,AL,1997,78.34285714285714,47.413333333333334
23,AL,1998,81.32962962962962,50.230952380952395
24,AL,1999,77.23696969696971,49.48484848484849
25,AL,2000,82.17272727272727,39.21666666666666
26,AL,2001,78.58717948717948,48.401282051282045
27,AL,2002,81.04615384615384,46.10000000000001
28,AL,2003,76.4846153846154,44.94615384615385
29,AL,2004,80.11538461538461,45.892307692307696
30,AL,2005,80.33846153846154,48.843589743589746
31,AL,2006,79.86794871794872,51.11196581196581
32,AL,2007,85.66666666666667,46.78571428571428
33,AL,2008,81.5,44.94705882352941
34,AL,2009,77.64395424836603,49.168426916221044
35,AL,2010,81.19287439613527,45.23315217391305
36,AL,2011,79.05754830917874,47.61284584980237
37,AL,2012,79.60621980676328,52.31791567852438
38,AL,2013,78.85852287581697,50.14431818181817
39,AL,2014,78.70677777777776,45.638086611456174
40,AL,2015,80.96203703703704,49.144602495543666
41,AL,2016,81.51873913043478,48.16444444444445
42,AR,1996,79.7,46.900000000000006
43,AR,1997,78.0888888888889,42.92222222222222
44,AR,1998,82.64444444444443,47.56666666666666
45,AR,1999,79.91909090909091,46.05172558922559
46,AR,2000,79.98181818181818,32.03333333333333
47,AR,2001,79.65333333333332,41.48444444444445
48,AR,2002,80.96000000000001,39.0
49,AR,2003,73.61176470588236,39.53124999999999
50,AR,2004,78.32941176470591,39.247058823529414
51,AR,2005,80.69529411764707,46.32732843137256
52,AR,2006,82.16470588235292,41.470588235294116
53,AR,2007,83.2,42.482352941176465
54,AR,2008,81.3941176470588,39.05882352941176
55,AR,2009,75.36209150326799,44.54733893557423
56,AR,2010,80.72549019607844,42.20196078431373
57,AR,2011,84.18511904761907,41.791666666666664
58,AR,2012,81.66237745098039,46.4579656862745
59,AR,2013,78.3173202614379,43.29252450980392
60,AR,2014,76.2562091503268,39.67962962962962
61,AR,2015,80.09738562091503,42.51350762527233
62,AR,2016,81.3029411764706,43.86877228163993
63,AZ,1996,83.31428571428572,44.21666666666667
64,AZ,1997,76.73571428571428,43.280952380952385
65,AZ,1998,73.62824074074075,43.94166666666666
66,AZ,1999,76.91517094017094,44.7945868945869
67,AZ,2000,80.83846153846154,42.97857142857142
68,AZ,2001,77.84761904761903,40.32142857142858
69,AZ,2002,80.12666666666667,46.23698412698413
70,AZ,2003,77.28666666666666,39.00666666666667
71,AZ,2004,80.42666666666668,41.84000000000001
72,AZ,2005,78.57142857142857,47.0
73,AZ,2006,78.27638888888889,45.18956699346406
74,AZ,2007,80.03124999999999,43.5
75,AZ,2008,81.70588235294119,41.16470588235295
76,AZ,2009,79.57411764705881,47.19867202729045
77,AZ,2010,79.99666666666666,45.610717234262125
78,AZ,2011,80.63517543859648,45.15412280701755
79,AZ,2012,79.01473684210526,48.61140350877192
80,AZ,2013,81.13849902534115,42.34105263157894
81,AZ,2014,80.23535087719297,48.572953216374266
82,AZ,2015,79.18203703703703,45.76867102396513
83,AZ,2016,81.14458204334365,47.72776315789474
84,CA,1996,79.1125,48.65
85,CA,1997,72.42875,49.99837535014006
86,CA,1998,71.82384643779993,47.82669444444445
87,CA,1999,69.6861111111111,50.07026630297852
88,CA,2000,70.05789473684214,50.10468750000001
89,CA,2001,71.5023474178404,48.4453655264923
90,CA,2002,73.51408450704227,47.45774647887323
91,CA,2003,69.11408450704228,49.454285714285724
92,CA,2004,73.91,49.41690140845072
93,CA,2005,72.4807429029304,51.719084249084254
94,CA,2006,73.93211788211788,49.63748858447488
95,CA,2007,75.06666666666668,48.56470588235294
96,CA,2008,75.15714285714284,47.96124999999999
97,CA,2009,72.1936227093967,52.01642121762354
98,CA,2010,71.63366957743652,51.542687270535374
99,CA,2011,73.14020021645022,50.73622890295358
100,CA,2012,74.11518987341772,52.8490565090836
101,CA,2013,73.87462719298244,49.34365740740741
102,CA,2014,74.71303886172306,55.50787485384577
103,CA,2015,75.4549115648529,52.11156066156065
104,CA,2016,74.59577461221905,52.60142978096195
105,CO,1996,72.75833333333334,29.53076923076923
106,CO,1997,68.84083333333334,28.249519230769234
107,CO,1998,66.7734778121775,31.708333333333332
108,CO,1999,67.26416666666667,33.382017543859654
109,CO,2000,69.34,25.860000000000003
110,CO,2001,70.175,26.63190476190476
111,CO,2002,70.4095238095238,25.952380952380945
112,CO,2003,63.25714285714285,27.942857142857147
113,CO,2004,69.31428571428572,27.547619047619047
114,CO,2005,69.09833333333333,32.46666666666667
115,CO,2006,67.43309523809523,31.087301587301585
116,CO,2007,66.62380952380953,23.61363636363636
