,Year,State,Coal,NG,Petro,Nuclear,Hydro,Solar,Wind,Other
0,1990,AK,0.091181793536787,0.6190297858418224,0.0887785458217207,0.0,0.17403695968894398,0.0,0.0,0.02697291511072584
1,1990,AL,0.673655719929057,0.0128146474118904,0.0017336509996537066,0.1513064565389605,0.13014726171865354,0.0,0.0,0.03034226340178486
2,1990,AR,0.49125658529788463,0.09152454713217256,0.002045519751891055,0.28854652162919936,0.0934703471887358,0.0,0.0,0.033156479000116576
3,1990,AZ,0.5084184375652985,0.037179229581814355,0.0024192544920096835,0.32812297364317755,0.11816262952335412,0.0,0.0,0.0056974751943458645
4,1990,CA,0.015910235834553553,0.44737671509051524,0.03301779415881575,0.1972001384034297,0.14351467297907072,0.0022117091489913597,0.016641327709749503,0.14412740667487414
5,1990,CO,0.9160276104366927,0.039636443596278215,0.0008415230775030465,0.0,0.04362370836269626,0.0,0.0,-0.00012928547317023802
6,1990,CT,0.10227387083830491,0.035606743253603905,0.252493915099524,0.5626685356039408,0.0162350980149313,0.0,0.0,0.030721837189695112
7,1990,DC,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
8,1990,DE,0.6521046993559906,0.09730523496779953,0.22875801823630684,0.0,0.0,0.0,0.0,0.021026716827137665
9,1990,FL,0.45702730197184843,0.14176670014915985,0.19417978904181427,0.16562081498143993,0.0013277612944898492,0.0,0.0,0.029027641767532832
10,1990,GA,0.6675255808373157,0.008084627502185297,0.004864137590391858,0.24148205251258592,0.04469067131097604,0.0,0.0,0.033352920508142085
11,1990,HI,0.000245394296381068,0.0,0.9003488907064717,0.0,0.008195200701821503,0.0,0.0029708066330047392,0.08823970766232096
12,1990,IA,0.8571264576625091,0.011096537916116844,0.0018130103387288179,0.10023702836052621,0.029127255412353927,0.0,0.0,0.0005997103097651197
13,1990,ID,0.0045783536561772075,0.0057487637330746865,0.0001025643671370973,0.0,0.9405162784818616,0.0,0.0,0.0423261681013468
14,1990,IL,0.42480074439570753,0.01097352101730865,0.0033895635241404424,0.5555756176879875,0.0011123212879982792,0.0,0.0,0.004148232086857666
15,1990,IN,0.955711992441197,0.014502847823043992,0.00855908779736943,0.0,0.004348585499118315,0.0,0.0,0.016877486439271255
16,1990,KS,0.6938820308653039,0.07321390871987558,0.002165461742314733,0.23035015182307184,0.0003871304770998457,0.0,1.316372334101032e-06,0.0
17,1990,KY,0.9551964964542932,0.0003766023858403356,0.001607510673133273,0.0,0.04281939048673325,0.0,0.0,0.0
18,1990,LA,0.23352566375245976,0.5162432585725116,0.0030353244980784178,0.1856622903649653,0.008585452052118057,0.0,0.0,0.036040819908238514
19,1990,MA,0.2854962161096587,0.1540453720203187,0.37933706330643047,0.12734215667117824,0.031379308603843296,0.0,0.0,0.022399883288570593
20,1990,MD,0.708933568282916,0.04590885937558236,0.10769074706899029,0.037736113052740744,0.06932301301731497,0.0,0.0,0.030407699202455608
21,1990,ME,0.028422024463292207,0.0031848711533803997,0.19322070079707693,0.3048239516157455,0.25652404419060465,0.0,0.0,0.21382440777990036
22,1990,MI,0.6702683018245391,0.0783327663553623,0.008612105386605203,0.21597598242737737,0.016269461112015514,0.0,0.0,0.01054138289410055
23,1990,MN,0.654191642069714,0.012533881756685848,0.010397262378206311,0.28184806187900474,0.01989873503774381,0.0,6.175938654447781e-06,0.021124240939990865
24,1990,MO,0.8221477055095772,0.005258536113610758,0.0015169116620049963,0.13475413051071028,0.036933622204703635,0.0,0.0,-0.0006109060006068793
25,1990,MS,0.3780155298410403,0.23489409345514184,0.029322597217450112,0.29451244745483957,0.0,0.0,0.0,0.06325533203152822
26,1990,MT,0.5808586798224741,0.0021227615823911175,0.0011134173591685705,0.0,0.411713825230586,0.0,0.0,0.004191316005380301
27,1990,NC,0.5866487493719074,0.0023957982033886134,0.0038624908739417095,0.3050348547337818,0.08029868014026885,0.0,0.0,0.019364323197693347
28,1990,ND,0.9331589465978194,0.0019102175168831954,0.001539161941197101,0.0,0.06339167394410035,0.0,0.0,0.0
29,1990,NE,0.5852543084972455,0.014240125782192291,0.0006000391890628216,0.3472053894714732,0.05270013706002615,0.0,0.0,0.0
30,1990,NH,0.23854544498934158,0.0,0.18915404480509618,0.32895014314969306,0.15163702371167695,0.0,0.0,0.09171334334419222
31,1990,NJ,0.17658308471045214,0.17299291242771805,0.0524150641972693,0.5947230534671089,0.000784386154472257,0.0,0.0,0.0025014990429793374
32,1990,NM,0.8961396664645399,0.09500581605876211,0.001236146697643084,0.0,0.007128159120594705,0.0,0.0,0.0004902116584601553
33,1990,NV,0.7507612333443969,0.11057113510087062,0.014169490967515574,0.0,0.08653474931155719,0.0,0.0,0.03796339127565966
34,1990,NY,0.1914582327452284,0.1678984728970908,0.25035783924323207,0.17454087862656167,0.2082683355743602,0.0,0.0,0.007476240913526823
35,1990,OH,0.9050802705320943,0.0018876699890445052,0.0029260779649704052,0.083324371683514,0.0014173640650815573,0.0,0.0,0.005364245765295215
36,1990,OK,0.5449409633325645,0.3873641168100575,0.0016344184432801022,0.0,0.058000093502150664,0.0,0.0,0.008060407911947228
37,1990,OR,0.026152184310420525,0.01626546814399901,0.0005514347228898078,0.12057824870033564,0.8187122564898648,0.0,1.070033897244506e-05,0.0177297072935178
38,1990,PA,0.6074202473041862,0.016136138100710334,0.02650287125038885,0.32903975372608707,0.016337193415058664,0.0,0.0,0.00455962819195454
39,1990,RI,0.0,0.7919536970476359,0.1676766162504651,0.0,0.008982079189680272,0.0,0.0,0.03138760751221874
